id,created_at,updated_at,state_id,country_id,name,deleted_at
1,2024-05-17 03:10:42.387,2024-05-17 03:10:42.387,0,1,Orchard,NULL
2,2024-05-17 03:10:42.520,2024-05-17 03:10:42.520,0,38,Jakarta,NULL
3,2024-05-17 03:10:42.658,2024-05-17 03:10:42.658,0,38,Others,NULL
10,2025-05-07 04:29:55.172,2025-09-09 11:04:02.947,2,14,Los Angeles,NULL
12,2025-06-03 16:37:51.777,2025-06-03 16:37:51.777,0,38,Makassar,NULL
13,2025-09-04 05:20:05.613,2025-09-04 05:20:05.613,0,1,Chinatown,NULL
14,2025-09-04 05:20:05.613,2025-09-04 05:20:05.613,0,1,Pearl's Hill,NULL
15,2025-10-15 06:39:26.672,2025-10-15 06:39:26.672,0,14,California,NULL
