id,created_at,updated_at,cart_id,inventory_id,offer_id,delivery_fee,is_updated_price,currency,deleted_at
236,2021-01-23 12:25:14.000,2021-01-23 12:25:14.000,167,228,NULL,0.00,0,SGD,NULL
241,2021-01-23 14:07:29.000,2021-01-23 14:07:29.000,216,635,NULL,0.00,0,SGD,NULL
245,2021-01-24 01:42:31.000,2021-01-24 01:42:31.000,153,650,NULL,0.00,0,SGD,NULL
249,2021-01-24 05:56:52.000,2021-01-24 05:56:52.000,222,38,NULL,0.00,0,SGD,NULL
251,2021-01-24 08:34:56.000,2021-01-24 08:34:56.000,223,405,NULL,0.00,0,SGD,NULL
252,2021-01-24 13:20:46.000,2021-01-24 13:20:46.000,224,590,NULL,0.00,0,SGD,NULL
253,2021-01-24 13:22:41.000,2021-01-24 13:22:41.000,224,455,NULL,0.00,0,SGD,NULL
254,2021-01-24 13:31:31.000,2021-01-24 13:31:31.000,224,219,NULL,0.00,0,SGD,NULL
255,2021-01-24 13:32:48.000,2021-01-24 13:32:48.000,224,621,NULL,0.00,0,SGD,NULL
256,2021-01-24 14:48:30.000,2021-01-24 14:48:30.000,111,470,NULL,200.00,0,SGD,NULL
261,2021-01-25 06:52:55.000,2021-01-25 06:52:55.000,224,237,NULL,0.00,0,SGD,NULL
271,2021-01-26 08:25:59.000,2021-01-26 08:25:59.000,235,600,NULL,0.00,0,SGD,NULL
272,2021-01-26 15:19:06.000,2021-01-26 15:19:06.000,38,625,NULL,0.00,0,SGD,NULL
275,2021-01-27 02:24:51.000,2021-01-27 02:24:51.000,171,656,NULL,0.00,0,SGD,NULL
281,2021-01-28 10:29:02.000,2021-01-28 10:29:02.000,106,41,NULL,0.00,0,SGD,NULL
283,2021-01-28 11:18:19.000,2021-01-28 11:18:19.000,248,531,NULL,0.00,0,SGD,NULL
284,2021-01-28 11:19:52.000,2021-01-28 11:19:52.000,248,198,NULL,0.00,0,SGD,NULL
285,2021-01-28 11:20:48.000,2021-01-28 11:20:48.000,248,200,NULL,0.00,0,SGD,NULL
286,2021-01-28 11:20:59.000,2021-01-28 11:20:59.000,248,201,NULL,0.00,0,SGD,NULL
287,2021-01-28 11:21:21.000,2021-01-28 11:21:21.000,248,577,NULL,0.00,0,SGD,NULL
305,2021-01-29 10:50:00.000,2021-01-29 10:50:00.000,56,422,NULL,0.00,0,SGD,NULL
306,2021-01-29 15:35:27.000,2021-01-29 15:35:27.000,264,222,NULL,0.00,0,SGD,NULL
